58	96	175	205	
58	98	130	230	
58	98	130	205	
58	88	175	204	
65	87	175	205	
65	97	163	204	
58	87	175	204	
73	87	175	204	
65	97	130	196	
65	87	146	205	
73	87	146	205	
44	91	122	204	
43	87	145	205	
43	87	146	205	
43	87	146	205	
44	116	146	205	
49	87	145	290	
49	87	163	205	
48	98	146	295	
66	99	163	204	
58	92	122	205	
58	97	128	230	
65	98	175	205	
65	116	145	205	
65	98	122	204	
65	116	130	205	
73	87	145	205	
72	90	179	232	
65	90	180	181	
44	89	160	233	
54	90	163	181	
43	88	130	196	
49	87	163	220	
73	97	146	237	
49	97	178	194	
43	86	171	193	
58	87	174	195	
58	108	174	261	
42	106	153	191	
44	88	173	220	
64	85	146	190	
65	88	130	217	
65	85	152	219	
43	86	146	220	
73	87	146	220	
43	87	175	219	
65	87	152	256	
43	87	146	220	
43	86	175	219	
44	87	174	218	
44	87	122	206	
49	87	130	224	
49	87	175	219	
49	97	121	290	
49	97	153	290	
49	97	146	219	
58	96	129	219	
58	97	153	219	
65	96	153	217	
42	85	168	220	
43	86	129	219	
65	100	144	218	
51	102	153	219	
48	97	146	219	
43	87	173	219	
43	87	128	218	
43	87	146	219	
48	87	145	193	
48	97	145	219	
65	86	146	218	
75	87	180	217	
42	105	144	219	
71	87	142	214	
72	108	179	218	
64	96	146	224	
65	98	164	230	
49	86	145	224	
48	87	145	223	
58	86	145	205	
45	89	179	181	
58	86	171	218	
58	87	146	240	
49	87	144	242	
43	87	130	219	
48	110	123	181	
51	98	124	220	
72	89	144	219	
56	84	145	219	
60	91	123	218	
53	87	180	181	
60	87	130	205	
43	87	145	242	
44	86	144	230	
43	98	146	230	
73	110	146	181	
43	98	175	197	
49	98	143	202	
50	87	145	218	
72	87	173	205	
42	84	147	184	
58	86	150	220	
49	97	146	241	
50	100	146	243	
51	101	130	220	
65	85	170	181	
73	87	175	257	
72	97	146	257	
